2014_10_01-10_09_39_ECG
Time,EcgWav;eform
01/10/2014;10:09:39.417,297
01/10/2014;10:09:39.421,297
01/10/2014;10:09:39.425,297
01/10/2014;10:09:39.429,297
01/10/2014;10:09:39.433,297
01/10/2014;10:09:39.437,297
01/10/2014;10:09:39.441,297
01/10/2014;10:09:39.445,297
01/10/2014;10:09:39.449,297
01/10/2014;10:09:39.453,297
01/10/2014;10:09:39.457,297
01/10/2014;10:09:39.461,297
01/10/2014;10:09:39.465,297
01/10/2014;10:09:39.469,297
01/10/2014;10:09:39.473,297
01/10/2014;10:09:39.477,297
01/10/2014;10:09:39.481,297
01/10/2014;10:09:39.485,297
01/10/2014;10:09:39.489,297
01/10/2014;10:09:39.493,297
01/10/2014;10:09:39.497,297
01/10/2014;10:09:39.501,297
01/10/2014;10:09:39.505,297
01/10/2014;10:09:39.509,297
01/10/2014;10:09:39.513,297
